
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees,Shanghai
2015-12-12,32,24,17,17,14,11,70,46,28,1013,1011,1009,4,3,2,16,6,,0.00,2,,349,Bombay
2015-12-13,31,24,17,16,13,10,68,43,21,1013,1011,1009,4,3,2,19,6,,0.00,2,,319,Bombay
2015-12-14,32,25,18,20,16,11,70,48,29,1013,1011,1010,4,3,2,16,5,,0.00,2,,315,Bombay
2015-12-15,32,26,18,20,17,15,79,53,35,1013,1011,1009,3,2,1,16,6,,0.00,2,,291,Bombay
2015-12-16,31,24,19,21,18,15,84,59,32,1014,1012,1009,4,3,1,21,6,,0.00,1,,335,Bombay
2015-12-17,31,23,16,17,13,3,73,46,16,1014,1012,1010,4,3,2,21,5,,0.00,1,,340,Bombay
2015-12-18,33,23,14,18,12,7,71,42,18,1014,1012,1010,4,3,2,16,5,,0.00,2,,6,Bombay
2015-12-19,33,26,17,21,16,12,79,50,23,1016,1014,1012,3,3,2,16,6,,0.00,1,,145,Bombay
2015-12-20,31,24,18,21,18,16,89,61,45,1017,1014,1012,3,2,1,19,5,,0.00,2,,295,Bombay
2015-12-21,31,23,16,18,13,8,79,46,25,1016,1014,1012,4,3,2,21,5,,0.00,1,,328,Bombay
2015-12-22,28,21,13,15,11,4,77,45,20,1019,1016,1014,6,3,2,19,6,,0.00,1,,348,Bombay
2015-12-23,28,19,11,15,12,8,78,50,22,1019,1016,1014,3,2,1,21,5,,0.00,,,336,Bombay
2015-12-24,32,21,11,15,8,5,71,36,15,1018,1015,1012,5,3,2,21,8,,0.00,1,,22,Bombay
2015-12-25,32,24,18,14,6,2,48,27,12,1018,1015,1013,4,3,2,24,16,39,0.00,1,,58,Bombay
2015-12-26,32,24,16,12,6,2,53,28,12,1019,1016,1014,4,3,2,21,13,,0.00,1,,63,Bombay
2015-12-27,34,24,14,15,7,2,74,31,11,1019,1016,1014,5,3,2,21,8,,0.00,1,,71,Bombay
2015-12-28,34,23,13,15,8,2,78,35,10,1020,1017,1015,5,3,2,19,5,,0.00,1,,52,Bombay
2015-12-29,36,26,14,14,9,6,65,33,12,1019,1016,1013,4,3,2,13,5,,0.00,1,,80,Bombay
2015-12-30,35,25,15,14,11,8,62,37,14,1016,1014,1011,4,2,2,16,5,,0.00,3,,142,Bombay
2015-12-31,37,26,15,16,12,8,68,37,14,1017,1014,1013,3,2,2,16,3,,0.00,1,,92,Bombay
2016-1-1,35,26,16,15,12,8,62,36,18,1018,1016,1014,6,3,2,19,5,,0.00,,,269,Bombay
2016-1-2,33,24,15,17,13,7,77,42,16,1020,1017,1016,6,3,1,19,5,,0.00,1,,209,Bombay
2016-1-3,32,22,13,18,14,8,80,49,23,1018,1016,1013,4,2,1,19,5,,0.00,1,,279,Bombay
2016-1-4,34,24,14,17,13,8,78,43,20,1018,1015,1013,4,3,2,19,5,,0.00,1,,52,Bombay
2016-1-5,32,23,14,15,13,11,75,44,25,1017,1014,1012,4,2,2,16,5,,0.00,,,301,Bombay
2016-1-6,33,24,15,17,14,11,81,46,20,1017,1014,1012,3,2,1,16,5,,0.00,1,,228,Bombay
2016-1-7,32,26,19,19,16,14,77,54,28,1017,1015,1014,3,2,1,14,5,,0.00,2,,76,Bombay
2016-1-8,33,26,18,19,16,12,81,52,29,1018,1015,1013,3,2,1,16,5,,0.00,1,,359,Bombay
2016-1-9,32,24,17,17,13,8,76,45,21,1016,1014,1011,5,3,1,19,5,,0.00,1,,4,Bombay
2016-1-10,33,24,16,17,12,9,69,42,20,1016,1014,1012,3,2,1,27,6,,0.00,1,,332,Bombay
2016-1-11,33,25,17,18,14,10,75,47,24,1016,1014,1012,3,2,2,24,5,32,0.00,1,,316,Bombay
2016-1-12,29,24,18,20,17,13,85,62,37,1015,1013,1011,3,2,1,19,6,,0.00,1,,328,Bombay
2016-1-13,29,24,19,19,17,14,85,62,36,1015,1012,1010,3,2,1,19,6,,0.00,1,,345,Bombay
2016-1-14,28,22,17,18,17,13,90,63,37,1015,1013,1011,4,2,1,26,5,34,0.00,1,,316,Bombay
2016-1-15,28,22,17,21,16,14,86,62,35,1014,1012,1011,5,3,2,21,8,,0.00,1,,330,Bombay
2016-1-16,28,23,17,18,16,12,83,59,31,1014,1012,1010,5,3,2,16,5,,0.00,1,,310,Bombay
2016-1-17,29,23,16,17,14,9,84,56,19,1014,1011,1009,8,3,2,19,6,,0.00,1,,303,Bombay
2016-1-18,29,22,16,18,14,9,90,57,31,1014,1011,1009,5,2,1,19,6,39,0.00,1,,2,Bombay
2016-1-19,28,22,15,14,10,4,79,42,13,1014,1012,1010,5,3,1,21,8,,0.00,1,,352,Bombay
2016-1-20,30,21,12,13,8,0,62,39,8,1016,1014,1011,5,3,2,23,8,32,0.00,1,,2,Bombay
2016-1-21,31,23,15,13,9,4,68,38,13,1018,1014,1012,4,3,2,21,8,,0.00,,,35,Bombay
2016-1-22,32,24,17,13,7,3,42,29,11,1017,1014,1012,4,3,2,23,11,,0.00,1,,38,Bombay
2016-1-23,34,24,16,14,8,3,57,32,12,1017,1014,1012,5,3,2,23,8,,0.00,1,,55,Bombay
2016-1-24,33,24,16,14,11,7,67,36,16,1017,1014,1013,4,3,2,19,6,,0.00,1,,349,Bombay
2016-1-25,32,23,15,13,11,6,75,41,16,1015,1014,1011,8,3,1,21,6,,0.00,1,,304,Bombay
2016-1-26,29,21,13,17,12,4,74,47,16,1015,1013,1012,5,3,2,23,5,,0.00,1,,320,Bombay
2016-1-27,28,22,16,19,16,11,88,62,35,1016,1014,1012,4,3,2,19,6,,0.00,1,,332,Bombay
2016-1-28,32,23,14,19,15,9,86,54,24,1016,1013,1011,3,2,1,16,5,,0.00,1,,319,Bombay
2016-1-29,33,24,17,20,17,13,90,55,25,1016,1014,1012,4,2,1,19,5,,0.00,1,,330,Bombay
2016-1-30,32,25,18,21,18,14,78,57,35,1017,1014,1012,3,2,2,16,10,,0.00,1,,320,Bombay
2016-1-31,32,25,18,20,18,16,87,60,32,1015,1013,1011,4,2,1,19,6,,0.00,,,319,Bombay
2016-2-1,32,26,18,19,17,13,87,57,32,1016,1014,1012,4,2,1,19,6,,0.00,1,,316,Bombay
2016-2-2,33,25,17,19,16,11,76,50,26,1017,1014,1012,4,3,2,19,8,,0.00,1,,326,Bombay
2016-2-3,32,23,15,16,13,9,83,47,21,1016,1014,1012,8,3,2,127,8,,0.00,1,,328,Bombay
2016-2-4,30,22,14,17,14,10,82,52,23,1015,1013,1011,4,3,2,23,6,,0.00,1,,314,Bombay
2016-2-5,29,22,16,20,18,12,90,68,23,1015,1012,1010,4,2,1,16,5,,0.00,1,,224,Bombay
2016-2-6,28,22,17,20,16,10,90,65,27,1014,1011,1009,5,3,1,19,6,,0.00,1,,254,Bombay
2016-2-7,28,22,17,18,16,14,90,59,35,1017,1014,1010,10,4,2,21,8,,0.00,1,,323,Bombay
2016-2-8,30,22,14,19,17,14,83,62,35,1015,1013,1011,8,4,2,19,6,,0.00,1,,313,Bombay
2016-2-9,30,23,17,21,18,15,89,64,33,1014,1012,1010,5,2,1,21,6,,0.00,1,,263,Bombay
2016-2-10,30,24,19,21,17,7,90,60,24,1015,1012,1010,7,3,1,130,6,,0.00,2,,254,Bombay
2016-2-11,27,23,19,21,19,16,83,69,48,1014,1012,1011,7,4,2,21,10,39,0.00,1,,294,Bombay
2016-2-12,27,22,17,19,17,15,88,66,37,1015,1013,1011,5,4,2,23,8,34,0.00,1,,350,Bombay
2016-2-13,28,22,17,17,16,14,80,60,37,1016,1013,1011,4,3,2,21,8,35,0.00,1,,6,Bombay
2016-2-14,31,23,16,17,12,7,76,47,19,1014,1013,1010,4,3,1,24,10,,0.00,2,,352,Bombay
2016-2-15,30,23,16,21,12,7,88,40,22,1015,1013,1011,4,3,2,21,6,32,0.00,1,,326,Bombay
2016-2-16,32,25,18,21,16,9,78,54,23,1014,1012,1010,4,3,2,21,8,,0.00,1,,299,Bombay
2016-2-17,31,26,21,23,21,13,90,73,34,1015,1013,1011,3,2,1,24,6,32,0.00,2,,254,Bombay
2016-2-18,32,25,18,21,19,17,86,62,36,1014,1012,1010,3,3,2,23,5,,0.00,1,,337,Bombay
2016-2-19,31,26,21,23,20,17,83,67,39,1016,1014,1012,4,3,2,21,6,32,0.00,1,,324,Bombay
2016-2-20,31,26,21,22,19,17,84,58,40,1017,1014,1012,4,3,2,23,6,,0.00,2,,330,Bombay
2016-2-21,32,27,21,20,14,6,65,43,16,1015,1013,1011,4,3,2,19,8,,0.00,2,,328,Bombay
2016-2-22,33,26,18,14,8,2,55,31,11,1016,1014,1012,5,4,2,24,10,,0.00,2,,335,Bombay
2016-2-23,32,24,17,22,16,9,83,54,35,1014,1011,1008,4,3,2,21,8,,0.00,1,,290,Bombay
2016-2-24,30,25,20,22,21,19,92,75,47,1013,1011,1010,5,3,1,26,8,,0.00,1,,200,Bombay
2016-2-25,30,24,19,22,19,14,92,67,30,1015,1012,1010,4,3,1,21,6,,0.00,2,,279,Bombay
2016-2-26,32,25,18,22,19,15,94,66,30,1015,1013,1011,4,2,1,21,3,,0.00,1,,283,Bombay
2016-2-27,32,26,20,23,20,14,93,65,36,1015,1013,1011,2,2,1,21,6,,0.00,1,,201,Bombay
2016-2-28,32,27,22,24,22,18,92,72,40,1016,1014,1012,4,2,1,23,6,,0.00,2,,227,Bombay
2016-2-29,32,27,21,24,22,17,89,67,41,1017,1014,1011,4,2,1,19,5,,0.00,1,,244,Bombay
2016-3-1,34,27,20,23,20,17,81,58,30,1014,1012,1009,3,2,1,21,5,,0.00,2,,242,Bombay
2016-3-2,34,28,23,24,22,17,83,61,36,1015,1012,1010,4,2,1,21,6,,0.00,2,,258,Bombay
2016-3-3,36,29,23,22,19,15,80,50,27,1016,1013,1011,4,2,1,19,8,34,0.00,1,,357,Bombay
2016-3-4,33,28,23,22,18,15,81,50,29,1017,1013,1011,4,3,2,19,10,37,9.91,5,Rain-Thunderstorm,70,Bombay
2016-3-5,34,27,21,22,18,10,79,53,23,1013,1011,1009,4,3,2,23,6,34,0.00,1,,323,Bombay
2016-3-6,33,26,19,22,18,13,88,56,29,1014,1011,1010,4,3,2,23,8,,0.00,2,,346,Bombay
2016-3-7,33,27,20,20,17,13,83,51,29,1013,1011,1008,4,3,2,23,6,35,0.00,1,,327,Bombay
2016-3-8,34,28,21,21,16,10,74,45,19,1012,1010,1008,4,3,2,21,8,34,0.00,1,,334,Bombay
2016-3-9,34,28,22,19,17,12,63,46,20,1013,1011,1009,4,3,2,24,10,,0.00,1,,310,Bombay
2016-3-10,35,27,19,21,17,12,78,48,21,1013,1011,1009,4,3,2,23,8,34,0.00,1,,324,Bombay
2016-3-11,36,29,22,23,20,15,80,56,25,1014,1011,1009,3,3,2,19,8,,0.00,2,,305,Bombay
2016-3-12,32,27,21,23,19,15,83,60,37,1013,1011,1009,5,3,2,23,8,,0.00,2,,297,Bombay
2016-3-13,31,27,23,23,21,15,83,67,34,1015,1013,1011,10,5,2,19,10,35,0.00,2,,310,Bombay
2016-3-14,30,26,21,21,20,19,84,66,43,1015,1013,1011,6,4,2,26,10,37,0.00,2,,346,Bombay
2016-3-15,31,27,22,21,19,14,78,59,37,1014,1011,1009,5,4,2,26,10,34,0.00,1,,336,Bombay
2016-3-16,31,26,21,23,21,13,81,66,39,1013,1011,1009,5,4,2,24,8,34,0.00,1,,283,Bombay
2016-3-17,31,27,22,23,22,18,90,71,37,1014,1012,1009,5,3,2,21,8,35,0.00,1,,262,Bombay
2016-3-18,33,27,21,24,21,18,87,63,42,1014,1011,1008,5,3,2,24,8,34,0.00,1,,319,Bombay
2016-3-19,36,30,23,24,19,12,79,49,22,1013,1011,1009,5,3,2,21,10,,0.00,,,339,Bombay
2016-3-20,37,30,23,22,18,13,66,48,21,1014,1012,1010,4,3,2,19,10,37,0.00,,,327,Bombay
2016-3-21,36,29,23,23,18,7,80,49,17,1014,1011,1009,8,4,2,23,10,,0.00,,,324,Bombay
2016-3-22,35,28,20,21,18,11,81,48,24,1011,1009,1007,4,3,2,24,8,34,0.00,,,326,Bombay
2016-3-23,38,29,21,22,16,8,82,42,15,1011,1008,1006,4,3,1,21,8,,0.00,,,319,Bombay
2016-3-24,33,28,23,25,23,18,84,68,51,1013,1011,1008,4,3,1,23,10,,0.00,1,,237,Bombay
2016-3-25,32,28,24,25,24,22,89,76,60,1014,1012,1010,5,3,2,23,10,37,0.00,2,,223,Bombay
2016-3-26,32,28,23,25,23,21,89,72,51,1014,1012,1010,4,3,2,23,8,34,0.00,2,,266,Bombay
2016-3-27,35,29,23,25,21,17,82,56,27,1013,1011,1008,4,3,2,21,8,34,0.00,1,,313,Bombay
2016-3-28,35,28,21,25,18,10,84,50,19,1013,1011,1009,5,4,2,23,10,,0.00,1,,313,Bombay
2016-3-29,33,28,22,25,22,14,89,67,25,1013,1012,1010,6,4,2,23,6,32,0.00,2,,281,Bombay
2016-3-30,34,28,22,24,22,12,90,65,28,1014,1012,1010,7,4,2,23,8,35,0.00,1,,293,Bombay
2016-3-31,33,28,23,23,22,17,86,68,34,1014,1012,1009,5,4,2,24,10,37,0.00,1,,311,Bombay
2016-4-1,32,28,23,24,23,19,88,72,37,1011,1009,1007,7,4,2,23,8,34,0.00,2,,313,Bombay
2016-4-2,32,28,23,25,23,22,87,75,52,1012,1010,1008,4,3,2,26,10,35,0.00,1,,304,Bombay
2016-4-3,32,28,23,25,23,22,89,73,50,1013,1011,1009,4,3,2,23,10,35,0.00,1,,296,Bombay
2016-4-4,33,28,23,25,24,22,85,71,52,1012,1009,1006,4,3,2,23,8,34,0.00,2,,301,Bombay
2016-4-5,32,28,24,25,24,22,85,74,58,1012,1009,1007,5,3,2,23,11,,0.00,4,,293,Bombay
2016-4-6,32,27,22,24,22,18,85,66,42,1012,1010,1008,5,3,2,24,8,,0.00,2,,302,Bombay
2016-4-7,34,29,23,25,20,12,83,58,21,1012,1010,1007,5,3,2,24,10,37,0.00,1,,327,Bombay
2016-4-8,37,30,24,22,17,10,74,46,16,1011,1009,1007,4,3,2,21,11,34,0.00,2,,340,Bombay
2016-4-9,35,30,25,24,20,16,79,53,29,1012,1009,1008,6,3,2,21,11,39,0.00,1,,326,Bombay
2016-4-10,34,29,23,25,22,18,79,59,36,1013,1011,1009,4,3,2,26,11,,0.00,1,,308,Bombay
2016-4-11,36,30,25,24,21,17,79,57,27,1013,1011,1009,7,3,2,23,11,37,0.00,2,,328,Bombay
2016-4-12,36,30,24,24,22,17,79,58,24,1011,1009,1006,6,4,2,24,11,34,0.00,1,,325,Bombay
2016-4-13,33,28,23,25,23,22,84,70,53,1010,1008,1005,5,3,2,24,10,37,0.00,,,307,Bombay
2016-4-14,33,28,23,24,23,20,86,67,43,1009,1008,1006,4,3,2,23,8,40,0.00,3,,310,Bombay
2016-4-15,34,28,22,25,23,17,85,66,36,1010,1009,1007,5,3,2,23,10,35,0.00,1,,299,Bombay
2016-4-16,32,28,23,25,23,21,85,70,46,1010,1009,1007,5,4,2,27,11,35,0.00,1,,294,Bombay
2016-4-17,33,28,22,25,23,21,84,70,44,1010,1009,1007,6,4,2,23,8,37,0.00,2,,284,Bombay
2016-4-18,33,29,24,26,24,22,84,69,46,1010,1008,1005,5,4,2,76,13,42,0.00,3,,321,Bombay
2016-4-19,34,29,25,26,23,20,80,65,46,1010,1008,1006,5,4,2,23,11,34,0.00,2,,320,Bombay
2016-4-20,33,29,26,25,24,22,84,69,52,1012,1010,1009,4,4,2,23,8,35,0.00,3,,296,Bombay
2016-4-21,32,29,25,25,24,23,84,73,56,1011,1010,1008,5,4,2,24,10,40,0.00,2,,277,Bombay
2016-4-22,32,28,24,24,22,20,84,68,44,1012,1010,1008,6,4,2,23,11,,0.00,2,,264,Bombay
2016-4-23,32,29,26,24,23,22,79,68,47,1010,1008,1006,6,4,2,23,11,37,0.00,2,,246,Bombay
2016-4-24,32,29,25,24,23,21,79,67,46,1009,1007,1006,6,4,2,24,11,35,0.00,3,,248,Bombay
2016-4-25,33,29,24,23,22,21,79,66,44,1010,1008,1006,6,4,2,21,8,47,0.00,2,,269,Bombay
2016-4-26,33,28,22,25,23,19,86,68,33,1011,1009,1007,5,4,2,21,8,39,0.00,1,,318,Bombay
2016-4-27,38,31,25,25,21,12,84,52,12,1010,1007,1005,5,4,2,24,10,34,0.00,2,,332,Bombay
2016-4-28,36,31,25,25,22,14,74,55,27,1009,1007,1005,5,4,2,24,10,37,0.00,2,,300,Bombay
2016-4-29,34,30,26,26,24,22,89,71,48,1010,1008,1007,4,3,1,23,10,,0.00,2,,244,Bombay
2016-4-30,34,29,25,26,24,19,84,69,43,1011,1009,1008,6,4,2,24,8,,0.00,3,,246,Bombay
2016-5-1,33,29,25,26,24,21,84,72,48,1010,1008,1006,6,4,2,23,10,34,0.00,1,,265,Bombay
2016-5-2,34,30,26,26,24,23,84,72,47,1011,1009,1007,5,4,2,23,10,45,0.00,1,,255,Bombay
2016-5-3,34,29,24,25,24,21,89,71,46,1010,1008,1006,10,4,2,24,8,39,0.00,2,,273,Bombay
2016-5-4,34,30,26,25,24,23,82,72,49,1010,1008,1006,10,5,2,23,6,34,0.00,2,,272,Bombay
2016-5-5,33,30,27,25,24,23,79,70,47,1011,1009,1006,10,5,2,23,8,40,0.00,2,,293,Bombay
2016-5-6,33,29,25,25,24,22,79,68,48,1010,1009,1006,10,5,2,23,10,39,0.00,3,,295,Bombay
2016-5-7,33,29,25,25,24,22,80,70,45,1010,1008,1006,6,4,2,24,10,34,0.00,2,,278,Bombay
2016-5-8,33,30,26,25,24,24,79,71,53,1011,1009,1008,5,4,2,145,11,35,0.00,2,,271,Bombay
2016-5-9,33,30,26,26,24,23,84,71,49,1011,1009,1006,10,5,2,24,10,37,0.00,2,,268,Bombay
2016-5-10,34,30,26,26,25,22,84,73,46,1010,1009,1006,5,4,2,19,8,,0.00,3,Thunderstorm,285,Bombay
2016-5-11,33,30,26,26,26,22,84,73,54,1010,1009,1006,5,4,2,23,10,37,0.00,2,,276,Bombay
2016-5-12,33,30,26,26,26,24,84,74,51,1009,1007,1004,5,4,2,26,11,40,0.00,2,,288,Bombay
2016-5-13,34,30,26,26,26,24,84,74,51,1009,1007,1005,6,4,2,23,10,37,0.00,3,,267,Bombay
2016-5-14,34,31,27,26,26,25,79,72,55,1010,1008,1006,8,4,2,27,10,34,0.00,2,,283,Bombay
2016-5-15,34,30,26,27,26,24,84,73,58,1010,1007,1006,7,5,2,24,10,37,0.00,2,,299,Bombay
2016-5-16,34,30,27,27,26,25,84,75,57,1007,1005,1003,6,4,2,24,10,34,0.00,3,,293,Bombay
2016-5-17,34,31,27,27,26,25,84,75,57,1006,1003,1001,4,3,2,24,10,39,0.00,3,,297,Bombay
2016-5-18,34,31,28,27,26,26,84,75,54,1004,1002,1000,4,4,2,24,11,40,0.00,3,,258,Bombay
2016-5-19,34,31,28,27,26,25,84,72,54,1004,1002,1001,6,4,2,23,14,45,0.00,3,,243,Bombay
2016-5-20,34,32,29,27,26,25,79,72,52,1006,1004,1002,5,4,2,23,16,45,0.00,3,,242,Bombay
2016-5-21,34,32,29,27,26,25,79,71,51,1008,1006,1004,5,4,2,24,18,42,0.00,3,,245,Bombay
2016-5-22,34,32,29,27,26,24,79,70,49,1009,1008,1006,6,4,2,26,16,47,0.00,3,,237,Bombay
2016-5-23,35,32,29,27,26,25,79,71,51,1010,1008,1007,6,4,2,23,18,40,0.00,3,,236,Bombay
2016-5-24,35,32,29,27,26,24,79,70,50,1009,1008,1006,7,5,2,26,16,37,0.00,3,,235,Bombay
2016-5-25,35,32,29,27,26,24,84,71,48,1009,1007,1005,8,5,2,24,16,37,0.00,3,Rain-Thunderstorm,223,Bombay
2016-5-26,35,32,29,27,26,24,84,69,50,1009,1007,1006,6,4,2,24,16,39,0.00,3,Rain,236,Bombay
2016-5-27,35,32,28,26,26,24,79,69,48,1010,1008,1007,8,4,2,23,13,34,0.00,3,,255,Bombay
2016-5-28,35,32,28,26,26,24,79,70,50,1010,1008,1006,7,4,2,24,14,39,0.00,3,,253,Bombay
2016-5-29,35,32,29,26,26,24,79,69,52,1009,1007,1006,10,5,2,24,14,42,0.00,3,,243,Bombay
2016-5-30,36,32,29,27,26,23,79,68,48,1008,1007,1005,8,5,2,23,14,42,0.00,2,,248,Bombay
2016-5-31,35,31,27,26,26,24,79,67,47,1009,1007,1006,7,5,2,26,13,40,0.00,2,,256,Bombay
2016-6-1,35,32,29,26,26,24,75,67,50,1010,1008,1006,6,4,2,82,13,39,0.00,2,,279,Bombay
2016-6-2,35,32,29,26,25,24,75,63,45,1009,1007,1005,6,4,2,27,14,42,0.00,2,,285,Bombay
2016-6-3,36,32,28,26,25,23,75,66,45,1008,1007,1004,6,5,2,27,13,45,0.00,2,,284,Bombay
2016-6-4,34,31,28,27,26,24,79,70,51,1009,1006,1004,6,4,2,24,14,37,0.00,3,,273,Bombay
2016-6-5,33,30,27,27,26,23,84,71,47,1009,1007,1004,5,4,2,26,16,37,0.00,4,Thunderstorm,248,Bombay
2016-6-6,34,31,29,27,26,24,84,71,53,1008,1006,1004,5,3,2,19,11,37,0.00,5,Thunderstorm,258,Bombay
2016-6-7,35,32,28,27,26,26,84,73,54,1007,1006,1004,6,4,2,24,13,37,0.00,3,,249,Bombay
2016-6-8,35,32,28,26,26,24,75,69,48,1007,1005,1003,5,4,2,26,14,34,0.00,3,,274,Bombay
2016-6-9,35,32,29,26,26,24,75,69,50,1007,1005,1003,5,4,2,24,16,42,0.00,3,,263,Bombay
2016-6-10,34,32,29,26,26,25,75,70,49,1007,1006,1005,5,4,2,24,14,40,0.00,3,,261,Bombay
2016-6-11,31,28,26,27,26,25,94,79,66,1009,1007,1005,4,3,1,124,18,37,37.08,5,Rain-Thunderstorm,215,Bombay
2016-6-12,34,31,27,27,27,26,89,75,54,1008,1006,1005,5,3,2,24,14,40,0.00,4,Rain,246,Bombay
2016-6-13,34,32,29,27,26,25,84,70,50,1008,1007,1006,5,3,2,27,18,48,0.25,3,,254,Bombay
2016-6-14,35,32,28,27,26,25,84,71,48,1008,1006,1005,4,3,2,27,18,40,5.08,3,,250,Bombay
2016-6-15,34,31,27,27,26,25,89,72,53,1006,1005,1004,4,3,2,206,21,47,0.00,2,Rain,235,Bombay
2016-6-16,34,31,28,27,26,24,79,70,53,1006,1004,1003,4,3,2,24,16,42,0.00,3,,247,Bombay
2016-6-17,34,31,28,26,26,25,79,70,50,1006,1005,1003,4,3,2,26,18,37,0.00,3,,258,Bombay
2016-6-18,34,29,25,26,25,24,82,69,51,1007,1005,1003,3,3,2,24,18,40,0.00,5,Rain-Hail-Thunderstorm,282,Bombay
2016-6-19,31,28,25,27,25,23,94,77,62,1005,1004,1002,3,3,1,23,14,37,28.96,6,Rain,301,Bombay
2016-6-20,29,26,23,26,25,23,95,85,74,1005,1003,1000,5,3,1,16,8,,2.03,6,Rain-Thunderstorm,217,Bombay
2016-6-21,32,28,24,27,26,25,100,86,68,1006,1002,1001,7,3,1,23,11,42,37.08,5,Rain-Thunderstorm,209,Bombay
2016-6-22,32,28,24,26,25,24,94,82,62,1006,1005,1003,8,4,2,23,11,37,2.03,5,Rain,201,Bombay
2016-6-23,31,28,25,27,25,24,94,85,65,1006,1005,1002,7,3,1,26,11,34,34.04,6,Rain-Thunderstorm,167,Bombay
2016-6-24,31,28,24,27,26,25,95,91,79,1005,1004,1002,4,2,1,24,13,37,113.03,7,Rain-Thunderstorm,172,Bombay
2016-6-25,27,26,24,26,25,24,100,91,84,1007,1005,1003,3,2,1,23,13,45,40.89,8,Rain-Thunderstorm,208,Bombay
2016-6-26,29,27,23,26,25,24,100,91,73,1007,1005,1003,4,2,1,23,13,40,30.99,7,Rain-Thunderstorm,170,Bombay
2016-6-27,29,27,24,27,26,24,98,91,83,1004,1003,1001,4,2,0,23,14,37,71.12,7,Rain,179,Bombay
2016-6-28,29,27,24,27,26,25,100,93,84,1005,1002,1001,2,2,1,24,10,40,76.96,8,Rain,203,Bombay
2016-6-29,28,26,23,26,24,24,100,92,79,1005,1004,1002,3,2,1,24,11,42,12.95,7,Rain,196,Bombay
2016-6-30,31,28,24,27,25,24,96,89,72,1005,1004,1002,3,2,1,24,13,61,67.06,7,Rain,187,Bombay
2016-7-1,29,26,23,28,26,24,100,93,83,1004,1002,1000,2,2,1,24,11,42,72.90,8,Rain-Thunderstorm,204,Bombay
2016-7-2,28,26,24,27,26,25,100,93,85,1003,1002,1000,3,2,1,32,18,50,87.12,8,Rain-Thunderstorm,240,Bombay
2016-7-3,29,27,24,27,26,25,100,90,84,1004,1002,1000,3,2,1,29,19,48,21.08,8,Rain,243,Bombay
2016-7-4,30,27,24,29,26,24,95,90,84,1005,1004,1002,3,2,1,23,14,40,32.00,7,Rain,238,Bombay
2016-7-5,31,27,24,27,26,23,96,88,70,1006,1004,1002,3,2,1,34,11,55,8.89,7,Rain,231,Bombay
2016-7-6,31,27,24,27,26,24,100,85,68,1006,1004,1002,4,3,2,26,11,34,7.87,7,Rain,235,Bombay
2016-7-7,29,28,26,27,26,24,89,82,71,1006,1005,1004,4,3,2,23,16,34,1.02,7,Rain,246,Bombay
2016-7-8,29,28,27,27,26,24,94,84,73,1006,1004,1003,3,3,2,26,18,40,9.91,7,Rain,253,Bombay
2016-7-9,29,27,25,26,26,24,89,83,72,1004,1003,1001,3,3,2,26,19,45,0.76,8,Rain,246,Bombay
2016-7-10,29,28,27,26,26,24,94,83,72,1003,1002,1001,3,3,2,42,21,61,3.05,7,Rain,248,Bombay
2016-7-11,29,28,26,26,26,24,89,86,77,1004,1002,1001,3,3,2,35,23,47,5.08,8,Rain,251,Bombay
2016-7-12,29,27,25,27,26,24,89,85,76,1004,1003,1001,4,3,2,27,16,45,3.05,8,Rain,249,Bombay
2016-7-13,31,27,24,27,26,24,100,84,70,1005,1003,1002,4,3,1,27,18,45,7.87,7,Rain,238,Bombay
2016-7-14,30,28,25,26,26,24,94,89,67,1006,1004,1003,5,3,1,26,14,45,8.89,7,Rain,207,Bombay
2016-7-15,31,28,24,27,26,24,94,86,64,1006,1005,1004,5,3,2,24,11,45,2.03,6,Rain,217,Bombay
2016-7-16,31,28,26,27,25,22,89,82,66,1007,1005,1004,5,3,2,24,14,42,2.03,5,Rain,219,Bombay
2016-7-17,32,28,24,27,25,24,95,86,61,1009,1007,1006,5,3,1,24,11,45,13.97,6,Rain,201,Bombay
2016-7-18,30,27,24,26,25,24,94,87,71,1010,1008,1007,5,3,1,24,13,42,34.04,7,Rain,232,Bombay
2016-7-19,27,25,23,26,25,24,100,92,84,1009,1008,1007,4,2,1,26,13,45,64.01,8,Rain,228,Bombay
2016-7-20,30,27,24,26,25,24,94,84,73,1008,1007,1005,4,3,2,24,14,35,9.91,6,Rain,271,Bombay
2016-7-21,28,26,23,26,24,22,100,90,78,1007,1006,1004,3,2,1,23,6,32,12.95,7,Rain,200,Bombay
2016-7-22,29,27,23,26,25,24,94,87,71,1006,1005,1003,4,3,2,24,10,37,5.08,7,Rain,243,Bombay
2016-7-23,32,28,23,27,25,24,94,86,65,1006,1004,1002,4,3,1,27,10,,6.10,6,Rain,204,Bombay
2016-7-24,31,28,24,26,25,24,94,85,68,1006,1004,1002,4,3,2,24,8,42,0.51,6,Rain,169,Bombay
2016-7-25,29,27,24,26,26,24,94,86,71,1007,1005,1003,5,3,2,19,8,34,0.00,6,Rain,203,Bombay
